Duplicates of E:\Fotos_early grouped by Folders
E:\Fotos_early\-=ЛЫЖИ=-\draG -> 2.96% of dublicates: 4 from 135 files in a folder
E:\Fotos_early\-=ЛЫЖИ=-\draG\vk -> 33.33% of dublicates: 4 from 12 files in a folder
E:\Fotos_early\-=ЛЫЖИ=-\БЕСКИД\Beskid_phone -> 4.65% of dublicates: 2 from 43 files in a folder
E:\Fotos_early\netbook\old_phone\vverh i palanok -> 5.38% of dublicates: 5 from 93 files in a folder
E:\Fotos_early\-=ЛЫЖИ=-\БЕСКИД\БЕСКИД (Бряник Марушка) 01_03_09 -> 0.50% of dublicates: 1 from 202 files in a folder
E:\Fotos_early\unsorted\В АГФУ -> 1.98% of dublicates: 2 from 101 files in a folder
E:\Fotos_early\-=ЛЫЖИ=-\Буковель\22_03_2009\Video -> 5.56% of dublicates: 1 from 18 files in a folder
E:\Fotos_early\unsorted\sakury -> 27.16% of dublicates: 22 from 81 files in a folder
E:\Fotos_early\unsorted\[jn sho -> 16.67% of dublicates: 1 from 6 files in a folder
E:\Fotos_early\Мероприятия\IT Weekend 2012\video -> 6.67% of dublicates: 1 from 15 files in a folder
E:\Fotos_early\Поездки\Киев с Наташкой -> 0.34% of dublicates: 1 from 294 files in a folder
E:\Fotos_early\Поездки\Лето 2008 Крым\Долина привидений - в-д Джур-Джур - крепость Фуна -> 0.53% of dublicates: 1 from 187 files in a folder
E:\Fotos_early\Поездки\Лето 2008 Крым\Киев -> 1.49% of dublicates: 1 from 67 files in a folder
E:\Fotos_early\Поездки\Лето 2008 Крым\Переезды разное -> 4.55% of dublicates: 1 from 22 files in a folder
E:\Fotos_early\Поездки\Лето 2008 Крым\Приезд в коктебель -> 2.78% of dublicates: 1 from 36 files in a folder
E:\Fotos_early\Поездки\Лето 2009 Крым\Балаклава и м.Ай-йа -> 8.08% of dublicates: 8 from 99 files in a folder
